plotID,county_region,county,own_land,community_land,government_land,mosque_church_land,school_land,other_land,crops,croplist,species_name,plant_date,number_planted,number_survived,woodlot,internal_boundary,external_boundary,garden,crop_field,pasture_grassland,fallow_bushland,mgt_prunning,mgt_fencing,mgt_weeding,mgt_watering,mgt_organic_fertilizer,Hectare
37036,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,banana crops,Grevillea robusta,2018-09-01,40,28,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,0.373894649249069
7729,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Soya Beans,Grevillea Robusta,2018-10-01,5,3,no,no,yes,no,no,no,no,no,no,yes,no,yes,0.03133136163264
19857,Eastern,Bugesera,yes,no,no,no,no,"",Yes,Beans,spathodea companulata,2018-08-01,15,8,no,yes,yes,no,no,no,no,no,no,no,no,yes,0.0996175965081537
25677,Eastern,Kayonza,yes,no,no,no,no,"",Yes,banana,senna spectabilis,2018-09-01,10,6,no,yes,no,yes,no,no,no,no,no,no,no,no,0.0303627644115741
6538,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"maize, irishpototoes
",grilicidia sepium,2018-10-01,5,3,no,yes,no,yes,yes,no,no,no,no,yes,no,no,0.00427094529165867
26414,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Bean,Maize",Grevellea robusta,2018-01-01,5,5,no,no,yes,no,no,no,no,no,no,yes,no,no,0.0449373223138716
25794,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Cassava, yams, banana crops",Jack fruit,2018-11-01,1,1,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,0.0710115990113694
15327,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,banana,Grevillea robusta,2018-10-01,25,21,no,yes,no,no,yes,no,no,yes,no,yes,no,yes,0.249374529441373
822,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"ibishyimbo,amateke , ibigori",Calica papaya,2018-11-01,12,1,no,no,no,no,yes,no,no,yes,yes,yes,no,no,0.0518386173249873
25754,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,"beans,vegetables",Cyphomandra betacea,2018-11-01,2,2,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,0.106780185130794
